,title,homesection,publishdate,pageviews,popularity
18976,Fem danskere i Touren: Sunweb udtager Søren Kragh,Cykling,2018-07-02 17:41:01 UTC,1499,0
31594,Klæstrup gift i moské: Jeg er så lykkelig,Danske kendte,2018-08-13 17:40:39 UTC,227329,1
10062,Teenager druknet efter skub i leg: Nu er kammerat sigtet,112,2018-06-02 09:57:02 UTC,85556,1
23137,It-fejl i europæisk flyveplansystem er rettet,Samfund,2018-04-04 00:10:44 UTC,1346,0
7639,"Voldtaget to timer på loftet over café: - Jeg vil straffe dig, du har fortjent det",112,2018-08-06 20:42:12 UTC,303642,1
21786,Akkari undskyldte sammen med bamse,Samfund,2018-05-24 14:55:18 UTC,37990,1
34700,Dansk målhelt: Jeg havde det på fornemmelsen,Landsholdsfodbold,2018-10-17 07:25:01 UTC,1287,0
25953,Ovenpå Kevin-ballade: Leclerc fortryder én ting!,Formel 1,2018-10-19 06:19:16 UTC,64562,1
35853,Fuglsang endte i brændenælde-busk på dramatisk etape,Tour de france 2018,2018-07-12 17:55:00 UTC,26521,1
3143,Den folkelige GTI,Bilanmeldelser,2018-05-04 20:58:01 UTC,19052,1
14064,SAS tvunget til at masseaflyse flyafgange,Finans,2018-07-24 08:28:02 UTC,70,0
2924,Milan handler igen inden transfervinduet lukker,Italiensk fodbold,2018-08-17 23:11:34 UTC,524,0
25853,Haas holder trit trods rivalers opgraderinger: De er overvurderet ,Formel 1,2018-05-17 23:25:01 UTC,53134,1
25020,Farcen er total: Dansk VM-modstander i desperat forsøg,VM 2018,2018-05-26 10:03:22 UTC,54392,1
1601,Afgjort på marginaler,Jyllandsyd,2018-10-01 19:56:07 UTC,60,0
24502,Mystik på dansk solskins-ø: Bulder og rystelser kan ikke forklares,Samfund,2018-05-28 23:19:58 UTC,93456,1
4493,'Hvis kvinder selv kan bestemme',Anna Libak,2018-04-04 17:33:21 UTC,4959,0
12673,To 20-årige kylet i græsk fængselscelle efter uheldig prank,Ferie,2018-09-20 06:54:54 UTC,106,0
17946,Flere skud affyret i boligområde i Vordingborg,Ritzau,2018-04-18 07:49:50 UTC,44,0
25977,Haas-mareridt: Romain-crash river to rivaler af banen,Formel 1,2018-05-13 16:08:31 UTC,27669,1
33121,United-anfører fanget i pinlig Mourinho-bommert: Nu lægger han sig fladt ned,Premier League,2018-10-04 09:38:25 UTC,37607,1
13555,"Betalte 43.000 kr. for bilen - og 2,6 mio. for nummerpladen",Finans,2018-09-21 06:13:01 UTC,1,0
15258,Elvis tog min mødom,Kendte,2018-08-19 12:26:43 UTC,20968,1
28510,Smukfest om Britney-fusk: Vi kan ikke garantere noget,DK MusikNYT,2018-08-08 16:13:53 UTC,83448,1
16948,Trump: Jeg havde ikke tilladt Ruslands annektering af Krim,Ritzau,2018-07-12 13:08:36 UTC,1,0
25830,Slut: Crash!! Grosjean endte i væggen,Formel 1,2018-06-23 16:52:51 UTC,56641,1
17246,Republikansk migrationsreform nedstemmes i USA's kongres,Ritzau,2018-06-27 21:20:29 UTC,1,0
34623,Slange i paradis? Sådan vil han smadre 'vennens' forhold,"Film, tv & radio",2018-11-12 20:43:34 UTC,6890,0
513,Trak det længste strå,Sjaellandsyd,2018-09-17 22:35:02 UTC,7,0
8224,Lod deres 10 måneder gamle datter dø af sult: Fik alvorlig overraskelse i retten ,112,2018-08-08 19:04:19 UTC,255656,1
5127,Medie: Zlatan klar for storklub,Italiensk fodbold,2018-11-23 21:16:13 UTC,95092,1
5065,ZOOM: Lille Næstved Skole - KSI ,Sjaellandsyd,2018-04-09 14:02:00 UTC,417,0
20048,Afsløret i diætsnyd: EU ændrede praksis - nu kan politikerne ikke kontrolleres,Politik,2018-08-01 07:09:13 UTC,47179,1
14340,"Skærpede krav til, hvornår du kan få fuld folkepension",Finans,2018-04-28 09:18:01 UTC,114,0
25152,Uruguay tager sen sejr over Egypten,VM 2018,2018-06-15 16:01:21 UTC,2401,0
29082,Frustreret Bo smidt ud,Superligaen,2018-10-07 22:23:21 UTC,6037,0
1652,Bedste chablis høst i 20 år ,Vinnyheder,2018-10-02 08:10:21 UTC,989,0
29512,Tv-stjerne røvet: - De tog en pistol frem,Intl. kendte,2018-08-20 22:37:47 UTC,37221,1
20350,Atomaftale med Iran fortsætter også uden USA,Politik,2018-05-07 17:40:49 UTC,722,0
5879,Sportens mægtigste sheik i frit fald,Sport,2018-11-23 18:27:07 UTC,25773,1
12092,TV: Opskriften på succes,Fyn,2018-09-24 21:00:45 UTC,34,0
3964,Søren vil bryde tabu: Ikke pinligt at være halvdøv,Krop og træning,2018-07-10 12:17:44 UTC,1196,0
29475,Verdenskendt pornostjerne 'punkteret' i usandsynlig ulykke: Nu skal hun opereres,Intl. kendte,2018-07-28 16:55:28 UTC,150858,1
10624,Her ankommer Nicklas Bendtner til retten i taxachauffør-sagen. Video: Lasse Brøndal,112,2018-11-02 09:20:19 UTC,25,0
10487,93 kvinder beskylder gynækolog for sexmisbrug på universitet,112,2018-10-19 05:38:24 UTC,28470,1
6830,Usoigneret cirkusartist dukkede op til dronningens aftenselskab,Danske kongelige,2018-10-25 10:42:16 UTC,208722,1
5894,Mor på sidelinjen i sejr,Jyllandsyd,2018-09-12 18:38:48 UTC,19,0
1312,Fed og fedtet: Legendernes lærling,INTL. Album-anm.,2018-05-09 16:58:40 UTC,2838,0
30089,DF: Mere dansk musik i slankere DR,Dansk politik,2018-09-18 10:38:11 UTC,9,0
24846,"Åges hemmelighed: - Ikke sikker på, at spillerne får det at vide",VM 2018,2018-06-25 20:47:57 UTC,21703,1
21980,Dumdristig turist lader leopard komme helt tæt på,Samfund,2018-05-16 21:12:55 UTC,90776,1
28722,Angrebskomet slog til for Nordsjælland,Superligaen,2018-08-19 14:01:03 UTC,7203,0
5112,Ticketmaster advarer danske kunder mod hackerangreb,Event & Kultur,2018-06-28 11:22:09 UTC,20027,1
27576,Færre melder sig som indsamlere hos Røde Kors: 1000 ledige ruter,nationen,2018-10-01 10:29:10 UTC,5129,0
15737,Politiet anholder yderligere 11 personer i stor narkosag,Ritzau,2018-04-11 15:43:03 UTC,1,0
6716,Dansk stjerne i brutal opvisning: Se den voldsomme knockout her ,MMA,2018-06-10 08:58:11 UTC,54335,1
23115,DMI advarer om voldsomt vejr: Her rammer skybrud og tordenvejr,Samfund,2018-04-30 11:06:11 UTC,116091,1
27555,Danmarks grimmeste pølsevogn: Derfor er Pølsemand Tung trist,nationen,2018-05-23 17:03:00 UTC,30057,1
3030,Her er danskernes største parkriser ,Kys & kærlighed,2018-11-11 21:36:52 UTC,89497,1
15897,Obama: Frygtens politik er på fremmarch,Ritzau,2018-07-17 17:26:47 UTC,1,0
21098,Anders Bondo Christensen går af som topforhandler,Samfund,2018-05-04 12:03:47 UTC,54530,1
22265,Teenager med dværgvækst droppet af kokkeskole: Nu får han jobtilbud fra kendiskok,Samfund,2018-08-28 14:46:53 UTC,48128,1
1105,Som to dråber vand: Ligner sin verdenskendte mor på en prik,flash,2018-05-16 18:50:15 UTC,144837,1
23015,Efter fire år: Ulv er vendt tilbage til område,Samfund,2018-08-14 19:49:13 UTC,31739,1
13584,Kendt slikgigant åbner butik i Danmark,Finans,2018-11-16 08:43:01 UTC,14,0
